Student_ID,Gender,Age,Grade_Level,Attendance (%),Hours_Studied_Weekly,Parental_Education_Level,Household_Income,Previous_Year_Grade,Participation_in_Extracurriculars,Health_Status,Final_Grade
S0001,Male,14,10th,72,24,Master's,Low,A,Yes,Poor,B
S0002,Female,14,11th,67,24,High School,Low,C,Yes,Poor,D
S0003,Male,14,10th,82,22,Master's,Low,D,No,Good,C
S0004,Male,18,10th,60,18,Master's,Medium,D,Yes,Poor,C
S0005,Male,17,11th,83,22,High School,Medium,B,No,Average,D
S0006,Female,18,12th,94,18,Bachelor's,High,B,Yes,Good,A
S0007,Male,17,9th,83,24,Master's,Low,D,No,Good,C
S0008,Male,18,12th,76,19,High School,Medium,B,No,Average,D
S0009,Male,18,11th,64,8,Master's,Low,C,No,Average,F
S0010,Female,16,9th,79,17,Master's,Medium,B,Yes,Average,B
S0011,Male,18,11th,80,12,Master's,Low,B,Yes,Poor,C
S0012,Male,15,11th,99,22,Master's,Medium,D,Yes,Good,A
S0013,Male,16,10th,90,16,High School,High,D,Yes,Poor,C
S0014,Male,18,9th,95,18,High School,High,A,Yes,Average,A
S0015,Female,14,10th,70,6,High School,Low,A,No,Poor,F
S0016,Male,15,9th,74,22,Master's,Medium,D,No,Average,D
S0017,Female,15,11th,78,6,Master's,Medium,B,No,Poor,D
S0018,Female,15,11th,66,15,Master's,Low,B,No,Poor,D
S0019,Female,16,12th,87,13,High School,Medium,A,No,Average,F
S0020,Male,18,9th,64,16,Master's,Low,A,No,Poor,C
S0021,Female,18,10th,64,21,Bachelor's,Medium,A,No,Good,B
S0022,Male,14,12th,89,19,Master's,Low,C,Yes,Poor,C
S0023,Female,14,12th,91,21,Bachelor's,Medium,C,No,Poor,C
S0024,Female,15,12th,67,22,Master's,Low,A,Yes,Good,A
S0025,Female,14,10th,69,10,High School,Medium,B,No,Average,F
S0026,Female,16,12th,97,21,Master's,High,A,No,Good,A
S0027,Female,18,10th,91,22,Bachelor's,Medium,C,Yes,Poor,B
S0028,Female,15,12th,87,12,Bachelor's,Low,B,No,Average,D
S0029,Female,14,10th,76,13,Master's,High,C,Yes,Poor,C
S0030,Female,16,11th,90,10,Bachelor's,Medium,B,No,Poor,D
S0031,Male,16,11th,67,9,Bachelor's,High,C,Yes,Good,B
S0032,Male,14,11th,99,16,High School,Medium,B,No,Good,B
S0033,Female,18,11th,84,15,Master's,High,B,Yes,Average,B
S0034,Female,14,11th,68,5,Master's,Low,B,Yes,Average,C
S0035,Female,15,12th,61,15,Master's,Medium,B,No,Average,D
S0036,Male,14,12th,74,23,Bachelor's,Medium,D,No,Poor,D
S0037,Female,16,12th,62,13,Master's,Low,C,Yes,Good,C
S0038,Male,14,10th,95,6,Master's,High,C,No,Good,B
S0039,Male,18,10th,63,16,High School,Low,D,Yes,Good,C
S0040,Male,17,10th,73,8,High School,Low,B,No,Average,F
S0041,Male,14,10th,100,8,High School,High,B,Yes,Good,A
S0042,Male,18,11th,100,22,Bachelor's,Low,C,No,Good,B
S0043,Female,18,11th,84,19,Master's,Medium,D,Yes,Good,B
S0044,Female,16,11th,69,23,High School,Medium,B,No,Average,D
S0045,Female,18,9th,80,17,High School,Medium,B,Yes,Good,B
S0046,Female,18,12th,95,23,High School,Low,B,Yes,Average,B
S0047,Female,18,10th,71,21,Master's,Medium,A,No,Good,B
S0048,Male,18,10th,86,10,Master's,Medium,D,No,Good,D
S0049,Female,15,11th,99,20,Master's,Medium,B,Yes,Good,A
S0050,Female,15,10th,61,16,Bachelor's,Medium,A,Yes,Average,B
S0051,Male,16,10th,72,23,Bachelor's,Medium,D,Yes,Average,C
S0052,Female,14,12th,91,9,High School,Medium,B,Yes,Good,B
S0053,Male,18,11th,90,21,Master's,Low,C,No,Poor,D
S0054,Female,14,12th,75,5,High School,Medium,A,Yes,Average,D
S0055,Male,14,9th,91,14,Master's,Medium,A,Yes,Average,B
S0056,Female,16,9th,91,19,Master's,High,B,Yes,Good,A
S0057,Female,18,9th,93,15,Master's,Low,B,No,Poor,C
S0058,Male,18,11th,70,17,Bachelor's,Low,A,Yes,Good,A
S0059,Male,17,10th,69,9,Bachelor's,Low,C,No,Average,F
S0060,Male,14,11th,74,5,Master's,Low,C,No,Average,F
S0061,Male,14,11th,76,16,High School,Medium,D,No,Good,D
S0062,Male,15,10th,99,15,Master's,Medium,B,No,Good,B
S0063,Male,17,12th,77,21,Master's,High,C,No,Poor,C
S0064,Male,15,9th,68,8,High School,High,D,No,Poor,F
S0065,Male,15,12th,84,19,Master's,Low,C,No,Average,D
S0066,Female,15,9th,99,13,High School,High,B,Yes,Poor,B
S0067,Female,16,11th,73,24,Bachelor's,High,D,Yes,Poor,B
S0068,Male,16,9th,84,23,Bachelor's,Low,D,No,Average,D
S0069,Female,15,11th,81,23,High School,Low,D,Yes,Average,D
S0070,Female,17,12th,89,16,Bachelor's,High,C,Yes,Average,B
S0071,Female,14,11th,79,9,Bachelor's,Medium,B,No,Average,D
S0072,Female,17,12th,80,14,High School,High,D,Yes,Good,C
S0073,Male,18,10th,91,21,Bachelor's,High,A,No,Average,A
S0074,Female,16,10th,80,9,Master's,Medium,B,Yes,Average,C
S0075,Male,14,10th,94,20,Master's,Medium,A,No,Average,B
S0076,Female,14,11th,91,11,High School,Low,A,No,Poor,D
S0077,Female,18,10th,89,13,Bachelor's,Low,D,Yes,Average,D
S0078,Female,18,9th,98,7,Master's,High,D,Yes,Good,A
S0079,Male,15,12th,71,19,Master's,Medium,C,No,Good,C
S0080,Female,16,12th,100,20,Bachelor's,Low,C,No,Average,C
S0081,Male,16,9th,77,22,Bachelor's,High,C,No,Good,B
S0082,Female,17,11th,80,18,Master's,Medium,B,Yes,Poor,B
S0083,Male,15,11th,72,7,Master's,High,C,Yes,Average,C
S0084,Female,15,12th,80,16,High School,Low,A,Yes,Good,B
S0085,Male,15,10th,67,13,High School,Low,C,Yes,Good,D
S0086,Male,15,11th,99,11,Master's,Medium,D,No,Average,D
S0087,Female,16,11th,66,13,High School,High,C,No,Good,D
S0088,Male,16,9th,82,17,Master's,Medium,B,No,Average,C
S0089,Female,15,9th,91,22,Master's,Low,B,No,Good,A
S0090,Female,17,10th,70,9,High School,Low,A,Yes,Poor,D
S0091,Female,14,11th,81,17,High School,High,B,No,Good,B
S0092,Female,14,11th,81,8,Bachelor's,High,C,No,Good,C
S0093,Female,17,9th,84,6,Bachelor's,High,D,Yes,Average,C
S0094,Female,15,11th,81,20,Bachelor's,Medium,B,Yes,Good,A
S0095,Female,16,12th,87,13,Master's,High,A,No,Average,C
S0096,Female,14,9th,88,13,High School,High,C,Yes,Poor,D
S0097,Female,18,10th,72,10,Master's,Low,A,No,Average,D
S0098,Female,18,9th,77,15,High School,Low,B,Yes,Average,D
S0099,Female,17,11th,61,5,Master's,High,B,Yes,Good,A
S0100,Male,15,10th,88,8,Bachelor's,High,A,No,Poor,C
S0101,Male,14,9th,80,17,Bachelor's,Low,C,Yes,Average,C
S0102,Female,15,12th,74,17,Bachelor's,High,B,No,Good,A
S0103,Female,14,12th,86,17,Master's,Medium,D,Yes,Good,B
S0104,Female,17,9th,90,6,High School,Medium,B,Yes,Average,D
S0105,Female,17,12th,74,13,High School,Medium,C,Yes,Good,D
S0106,Female,18,12th,82,12,Bachelor's,High,B,Yes,Average,B
S0107,Female,15,12th,83,11,Bachelor's,Low,A,Yes,Average,C
S0108,Female,18,10th,72,8,Bachelor's,High,B,No,Average,C
S0109,Female,15,12th,81,22,Bachelor's,High,B,Yes,Poor,A
S0110,Male,18,12th,96,7,High School,Low,C,No,Average,F
